iter,loss
128,541.0628051757812
256,539.17138671875
384,541.166259765625
512,540.3043823242188
640,539.4649658203125
768,535.5046997070312
896,533.0027465820312
1024,538.4342041015625
1152,538.1611938476562
1280,533.4904174804688
1408,530.4968872070312
1536,531.1014404296875
1664,534.3174438476562
1792,531.1400146484375
1920,529.5607299804688
2048,526.1200561523438
2176,523.9352416992188
2304,525.3411865234375
2432,521.18408203125
2560,523.1275634765625
2688,517.6975708007812
2816,512.9247436523438
2944,514.1864013671875
3072,520.7139282226562
3200,514.9569091796875
3328,517.2274169921875
3456,511.55535888671875
3584,510.1414794921875
3712,506.975341796875
3840,504.0903015136719
3968,500.15997314453125
4096,500.0850524902344
4224,500.84246826171875
4352,498.3823547363281
4480,501.26983642578125
4608,491.6336975097656
4736,486.123046875
4864,490.6254577636719
4992,483.4324035644531
5120,481.0033874511719
5248,481.9443359375
5376,473.2894287109375
5504,470.509521484375
5632,468.1482238769531
5760,455.0799255371094
5888,448.4472961425781
6016,460.1806640625
6144,447.984619140625
6272,457.7095031738281
6400,452.2371826171875
6528,444.4731750488281
6656,426.26947021484375
6784,438.3656311035156
6912,434.6230773925781
7040,443.4071350097656
7168,425.741943359375
7296,451.5556945800781
7424,404.23089599609375
7552,420.60302734375
7680,428.4881591796875
7808,429.26513671875
7936,429.0379943847656
8064,422.386962890625
8192,410.6947021484375
8320,423.25494384765625
8448,426.3896179199219
8576,421.0639953613281
8704,396.67510986328125
8832,424.2292175292969
8960,413.98565673828125
9088,410.6427917480469
