iter,loss
128,391.3781433105469
256,409.0873718261719
384,411.0790100097656
512,403.7798767089844
640,376.04827880859375
768,358.2274475097656
896,367.9604797363281
1024,375.7711181640625
1152,405.6926574707031
1280,375.4000244140625
1408,383.40594482421875
1536,361.1549987792969
1664,365.4494934082031
1792,371.02294921875
1920,350.9981994628906
2048,390.65594482421875
2176,369.0576477050781
2304,395.4023132324219
2432,364.83966064453125
2560,386.8571472167969
2688,382.53021240234375
2816,360.2918395996094
2944,351.10174560546875
3072,370.2544250488281
3200,365.2555847167969
3328,351.0817565917969
3456,380.0284118652344
3584,371.3406677246094
3712,356.5872497558594
3840,375.44940185546875
3968,375.76715087890625
4096,365.0491638183594
4224,372.2121887207031
4352,351.6023864746094
4480,381.5490417480469
4608,379.0565490722656
4736,383.470458984375
4864,359.907958984375
4992,368.5377502441406
5120,344.7074890136719
5248,363.155517578125
5376,361.7545166015625
5504,371.7490539550781
5632,371.25457763671875
5760,366.9356994628906
5888,347.2164306640625
6016,332.5295715332031
6144,349.931396484375
6272,362.32275390625
6400,373.8916931152344
6528,342.82647705078125
6656,370.51220703125
6784,351.2457580566406
6912,346.72393798828125
7040,342.6212463378906
7168,359.177001953125
7296,340.59185791015625
7424,372.52398681640625
7552,359.12860107421875
7680,331.9552307128906
7808,332.36541748046875
7936,354.73040771484375
8064,360.7906799316406
8192,369.935546875
8320,331.7206726074219
8448,334.04364013671875
8576,342.3995361328125
8704,370.9078369140625
8832,368.7073669433594
8960,355.98919677734375
9088,377.1890869140625
